01;10;13;18;21;46;49
02;11;14;19;23;26;47
03;16;17;20;25;45;57
04;12;15;22;27;43;59
05;24;31;32;41;45;50
06;29;33;41;48;51;54
27;36;37;40;43;56;60
08;25;29;38;39;44;58
09;23;28;30;35;47;52
07;21;34;42;49;53;55
05;06;12;20;29;33;39
03;09;13;23;29;36;39
07;09;10;29;31;33;36
03;14;22;45;54;59;60
07;24;28;33;39;45;48
03;14;17;25;36;45;53
03;17;32;35;39;47;58
01;23;28;29;35;36;42
05;18;27;39;45;53;56
04;07;11;15;25;41;43
05;08;12;16;26;42;44
03;17;29;33;36;48;55
02;06;11;13;45;52;57
01;06;12;14;17;33;51
09;18;19;38;46;48;49
13;14;19;41;56;57;60
03;12;26;27;28;36;42
04;10;11;29;33;39;49
04;11;19;29;33;46;48
02;08;28;30;44;47;55
16;32;34;39;49;52;53
07;16;19;23;28;45;52
03;16;24;37;42;49;55
09;13;16;27;32;34;55
02;03;04;09;20;23;28
01;08;15;26;34;45;53
05;17;22;30;33;34;56
02;06;17;25;39;42;51
07;11;19;22;30;36;44
05;13;24;30;41;52;58
